Voltage (V),Error in Voltage (V),Current (mA),Error in Current (mA),,,,,
1.008,0.007,0.069,0.001345,,,,,
2,0.21,0.145,0.001725,,,,,
2.9,0.21,0.213,0.002065,,,,,
3.9,0.22,0.279,0.002395,,,,,
4.8,0.22,0.35,0.00275,,,,,
5.8,0.23,0.424,0.00312,,,,,
6.8,0.23,0.494,0.00347,,,,,
7.7,0.24,0.56,0.0038,,,,,
8.7,0.24,0.631,0.004155,,,,,
9.8,0.25,0.708,0.00454,,,,,
10.7,0.25,0.772,0.00486,,,,,
11.7,0.26,0.846,0.00523,,,,,_
12.7,0.26,0.914,0.00557,,,,,
13.7,0.27,0.989,0.005945,,,,,
14.7,0.27,1.063,0.006315,,,,,
15.8,0.28,1.134,0.00667,,,,,
16.7,0.28,1.204,0.00702,,,,,
17.8,0.29,1.282,0.00741,,,,,
18.7,0.29,1.345,0.007725,,,,,
19.7,0.3,1.416,0.00808,,,,,
,,,,,,,,
1.D,,,,,,,,
T (Celsius),Ohms,,,,,,,
50,115,,,,,,,
48,115,,,,,,,
46,115,,,,,,,
44,115,,,,,,,
42,115,,,,,,,
40,115,,,,,,,
38,116,,,,,,,
36,116,,,,,,,
34,116,,,,,,,
32,116,,,,,,,
30,116,,,,,,,
12,115,,,,,,,
10,115,,,,,,,
9,115,,,,,,,
8,115,,,,,,,
7,115,,,,,,,
4,115,,,,,,,
3,115,,,,,,,
2,115,,,,,,,
0,115,,,,,,,
-1,115,,,,,,,
-4,115,,,,,,,
-7,115,,,,,,,
,,,,,,,,
1.E.d,,,,,,,,
T (Celsius),ohms,,,,,,,
18,1.32,,,,,,,
19,1.19,,,,,,,
21,1.13,,,,,,,
23,1.1,,,,,,,
24,1.04,,,,,,,
35,72,,,,,,,
38,68,,,,,,,
40,65,,,,,,,
42,62,,,,,,,
45,60,,,,,,,
48,55,,,,,,,
50,52,,,,,,,
54,48,,,,,,,
58,44,,,,,,,
65,38,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2.a.smallrod,l=17.5cm width=2mm,gator width=.3cm,,,,,,
V,A,,,,,,,
0.3,0.275,,,,,,,
0.545,0.486,,,,,,,
0.826,0.737,,,,,,,
1.181,1.04,,,,,,,
1.322,1.479,,,,,,,
1.514,1.693,,,,,,,
1.55,1.428,,,,,,,
1.7,1.873,,,,,,,
1.811,1.788,,,,,,,
,,,,,,,,
2.a.bigrod,l=22.6cm width=1.2cm,,,,,,,
V,A,,,,,,,
0.136,0.069,,,,,,,
0.273,0.159,,,,,,,
0.441,0.293,,,,,,,
0.64,0.501,,,,,,,
1.027,0.888,,,,,,,
1.247,1.228,,,,,,,
1.309,1.304,,,,,,,
1.391,1.376,,,,,,,
1.495,1.457,,,,,,,
1.483,1.535,,,,,,,
,,,,,,,,
2.b,,,,,,,,
V,micro A,,,,,,,
0.159,0.1,,,,,,,
0.261,0.9,,,,,,,
0.312,2.5,,,,,,,
0.399,14.7,,,,,,,
0.422,23.8,,,,,,,
0.463,55.1,,,,,,,
0.473,67.6,,,,,,,
0.492,99.9,,,,,,,
0.501,121.3,,,,,,,
0.511,147.1,,,,,,,
,,,,,,,,
-0.093,0,,,,,,,
-0.322,0,,,,,,,
-1.09,0.1,,,,,,,
-2.1,0.2,,,,,,,
-3,0.3,,,,,,,
-3.9,0.4,,,,,,,
-10,1.1,,,,,,,
-20,2.3,,,,,,,
,,,,,,,,
2.c,,,,,,,,
V,micro A,,,,,,,
1,0.1,,,,,,,
1.9,0.2,,,,,,,
2.5,158.9,,,,,,,
2.3,7.4,,,,,,,
2.4,55.4,,,,,,,
2.4,82.9,,,,,,,
2.5,172,,,,,,,
2.6,829,,,,,,,
2.6,1966,,,,,,,
2.7,7500,,,,,,,
,,,,,,,,
Power supply V,DMM V,micro A,,,,,,
0,0,0,,,,,,
0.1,0.176,0,,,,,,
0.2,0.185,0,,,,,,
0.3,0.295,0,,,,,,
0.4,0.395,0,,,,,,
0.5,0.495,0,,,,,,
0.6,0.59,0,,,,,,
0.7,0.69,0,,,,,,
0.8,0.79,0,,,,,,
0.9,0.895,0,,,,,,
1,0.979,0.1,,,,,,
1.1,1.087,0.1,,,,,,
1.3,1.279,0.1,,,,,,
1.5,1.495,0.1,,,,,,
1.7,1.7,0.2,,,,,,
1.9,1.95,0.2,,,,,,
2.2,2.1,0.6,,,,,,
2.4,2.3,7.3,,,,,,
2.6,2.4,57.7,,,,,,
2.8,2.4,82.1,,,,,,
3.2,2.5,262,,,,,,
3.5,2.5,356,,,,,,
4,2.5,526,,,,,,
5.1,2.6,947,,,,,,
,,,,,,,,
,,,,,,,,
3.a,,,,,,,,
ohms,V,milli Amps,,,,,,
200,4.9,26.4,,,,,,
510,7.1,15.2,,,,,,
1000,8.2,9.9,,,,,,
3000,9,5.11,,,,,,
12000,9.8,0.21,,,,,,
75000,9.9,0.045,,,,,,
200000,9.9,0.016,,,,,,
560000,9.9,0.0007,,,,,,
1000000,10,0.0004,,,,,,
,,,,,,,,
,,,,,,,,
3.b,,,,,,,,
ohms,V,milli A,,,,,,
16000,4.9,0.0033,,,,,,
510,0.2,0.0069,,,,,,
200,0,0.0799,,,,,,
1000,0.5,0.0309,,,,,,
3000,1,0.0272,,,,,,
12000,4.2,0.0117,,,,,,
75000,8.2,0.0033,,,,,,
200000,9.2,0.001,,,,,,
560000,9.7,0.0005,,,,,,
1000000,9.8,0.0002,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
4.a check,,,,,,,,
4.b 3.4 V,,,,,,,,
4.c 24.7 microA,137kohms,,,,,,,
4.d 566k ohms,2.7 V,R(th)=146k ohms,,,,,,
4.e,Theory,Testing,,,,,,
,3.4 V,3.4,,,,,,
,141k ohm,"137k,146k ohms",,,,,,
,,,,,,,,
,,,,,,,,
5.a,V(th)=1.412 V,V differemce=.007V,,,,,,
,"R=3, V drop = 1.405",R(th)=.0149 ohms,,,,,,
,,,,,,,,
5.b,,,,,,,,
