Voltage (V),Error in Voltage (V),Current (mA),Error in Current (mA)
1.008,0.007,0.069,0.001345
2,0.21,0.145,0.001725
2.9,0.21,0.213,0.002065
3.9,0.22,0.279,0.002395
4.8,0.22,0.35,0.00275
5.8,0.23,0.424,0.00312
6.8,0.23,0.494,0.00347
7.7,0.24,0.56,0.0038
8.7,0.24,0.631,0.004155
9.8,0.25,0.708,0.00454
10.7,0.25,0.772,0.00486
11.7,0.26,0.846,0.00523
12.7,0.26,0.914,0.00557
13.7,0.27,0.989,0.005945
14.7,0.27,1.063,0.006315
15.8,0.28,1.134,0.00667
16.7,0.28,1.204,0.00702
17.8,0.29,1.282,0.00741
18.7,0.29,1.345,0.007725
19.7,0.3,1.416,0.00808
