"Channel 1, ""s""","Channel 1, ""Volts""","Channel 2, ""s""","Channel 2, ""Volts"""
0.0,-0.51688,0.0,0.0
1e-06,-0.51688,1e-06,0.0
2e-06,-0.51688,2e-06,0.0
3e-06,-0.51688,3e-06,0.0
4e-06,-0.51688,4e-06,-0.0472
4.9999999999999996e-06,-0.51688,4.9999999999999996e-06,0.0
6e-06,-0.51688,6e-06,0.0
7e-06,-0.51688,7e-06,0.0
8e-06,-0.51688,8e-06,0.0
9e-06,-0.51688,9e-06,0.0
9.999999999999999e-06,-0.51688,9.999999999999999e-06,0.0
1.1e-05,-0.51688,1.1e-05,0.0
1.2e-05,-0.51688,1.2e-05,0.0
1.3e-05,-0.51688,1.3e-05,0.0
1.4e-05,-0.51688,1.4e-05,0.0
1.4999999999999999e-05,-0.51688,1.4999999999999999e-05,0.0
1.6e-05,-0.51688,1.6e-05,0.0
1.7e-05,-0.51688,1.7e-05,0.0
1.8e-05,-0.51688,1.8e-05,0.0
1.8999999999999998e-05,-0.51688,1.8999999999999998e-05,0.0
1.9999999999999998e-05,-0.51688,1.9999999999999998e-05,-0.0472
2.1e-05,-0.52256,2.1e-05,0.0
2.2e-05,-0.51688,2.2e-05,0.0
2.3e-05,-0.51688,2.3e-05,0.0
2.4e-05,-0.51688,2.4e-05,0.0
2.4999999999999998e-05,-0.51688,2.4999999999999998e-05,-0.0472
2.6e-05,-0.51688,2.6e-05,0.0
2.7e-05,-0.51688,2.7e-05,-0.0472
2.8e-05,-0.51688,2.8e-05,0.0
2.9e-05,-0.51688,2.9e-05,0.0
2.9999999999999997e-05,-0.51688,2.9999999999999997e-05,0.0
3.1e-05,-0.51688,3.1e-05,0.0
3.2e-05,-0.51688,3.2e-05,0.0
3.2999999999999996e-05,-0.51688,3.2999999999999996e-05,0.0
3.4e-05,-0.51688,3.4e-05,-0.0472
3.5e-05,-0.51688,3.5e-05,0.0
3.6e-05,-0.51688,3.6e-05,0.0
3.7e-05,-0.51688,3.7e-05,0.0
3.7999999999999995e-05,-0.51688,3.7999999999999995e-05,0.0
3.9e-05,-0.51688,3.9e-05,-0.0472
3.9999999999999996e-05,-0.51688,3.9999999999999996e-05,0.0
4.1e-05,-0.51688,4.1e-05,0.0
4.2e-05,-0.51688,4.2e-05,0.0
4.2999999999999995e-05,-0.51688,4.2999999999999995e-05,-0.0472
4.4e-05,-0.51688,4.4e-05,0.0
4.4999999999999996e-05,-0.51688,4.4999999999999996e-05,-0.0472
4.6e-05,-0.51688,4.6e-05,0.0
4.7e-05,-0.51688,4.7e-05,-0.0472
4.8e-05,-0.51688,4.8e-05,0.0
4.9e-05,-0.51688,4.9e-05,0.0
4.9999999999999996e-05,-0.51688,4.9999999999999996e-05,0.0
5.1e-05,-0.51688,5.1e-05,0.0
5.2e-05,-0.51688,5.2e-05,0.0
5.3e-05,-0.51688,5.3e-05,0.0
5.4e-05,-0.51688,5.4e-05,0.0
5.4999999999999995e-05,-0.51688,5.4999999999999995e-05,0.0
5.6e-05,-0.51688,5.6e-05,0.0
5.6999999999999996e-05,-0.51688,5.6999999999999996e-05,0.0
5.8e-05,-0.51688,5.8e-05,-0.0472
5.9e-05,-0.51688,5.9e-05,0.0
5.9999999999999995e-05,-0.52256,5.9999999999999995e-05,0.0
6.1e-05,-0.51688,6.1e-05,0.0
6.2e-05,-0.51688,6.2e-05,0.0
6.3e-05,-0.51688,6.3e-05,0.0
6.4e-05,-0.51688,6.4e-05,0.0
6.5e-05,-0.51688,6.5e-05,0.0
6.599999999999999e-05,-0.51688,6.599999999999999e-05,0.0
6.7e-05,-0.51688,6.7e-05,0.0
6.8e-05,-0.51688,6.8e-05,-0.0472
6.9e-05,-0.51688,6.9e-05,0.0
7e-05,-0.51688,7e-05,0.0
7.099999999999999e-05,-0.51688,7.099999999999999e-05,0.0
7.2e-05,-0.51688,7.2e-05,-0.0472
7.3e-05,-0.51688,7.3e-05,0.0
7.4e-05,-0.51688,7.4e-05,0.0
7.5e-05,-0.51688,7.5e-05,0.0
7.599999999999999e-05,-0.51688,7.599999999999999e-05,0.0
7.7e-05,-0.51688,7.7e-05,0.0
7.8e-05,-0.51688,7.8e-05,0.0
7.9e-05,-0.51688,7.9e-05,0.0
7.999999999999999e-05,-0.51688,7.999999999999999e-05,0.0
8.099999999999999e-05,-0.51688,8.099999999999999e-05,-0.0472
8.2e-05,-0.51688,8.2e-05,0.0
8.3e-05,-0.51688,8.3e-05,0.0
8.4e-05,-0.51688,8.4e-05,0.0
8.499999999999999e-05,-0.51688,8.499999999999999e-05,0.0
8.599999999999999e-05,-0.51688,8.599999999999999e-05,0.0
8.7e-05,-0.51688,8.7e-05,0.0
8.8e-05,-0.51688,8.8e-05,0.0
8.9e-05,-0.51688,8.9e-05,0.0
8.999999999999999e-05,-0.51688,8.999999999999999e-05,0.0
9.099999999999999e-05,-0.51688,9.099999999999999e-05,0.0
9.2e-05,-0.51688,9.2e-05,0.0
9.3e-05,-0.51688,9.3e-05,0.0
9.4e-05,-0.51688,9.4e-05,-0.0472
9.499999999999999e-05,-0.51688,9.499999999999999e-05,0.0
9.6e-05,-0.51688,9.6e-05,0.0
9.7e-05,-0.51688,9.7e-05,0.0
9.8e-05,-0.51688,9.8e-05,0.0
9.9e-05,-0.51688,9.9e-05,0.0
9.999999999999999e-05,-0.51688,9.999999999999999e-05,0.0
0.000101,-0.51688,0.000101,0.0
0.000102,-0.51688,0.000102,-0.0472
0.000103,-0.51688,0.000103,0.0
